"","virus","antigen","affinity","dcy","covi","n","cv","cv_se","cv_t","I","I_se","I_t","Pr_t_I","Pr_t_cv"
"16","WT","Spike","IgG4","CoronaVac","Immunosupressive.drugs",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"17","WT","Spike","IgG4","CoronaVac","Obesity",64,-0.00669609353981212,0.015921188131574,-0.420577502412199,0.0108398599869788,0.0104431689177265,1.03798569882164,0.303373817021044,0.675541620447282
"18","WT","Spike","IgG4","CoronaVac","Hypertension",64,-0.0166242457402491,0.0206257487357353,-0.805994776395516,0.0117313289266183,0.0103851132553711,1.12962936832209,0.263054993285949,0.423376873974885
"19","WT","Spike","IgG4","CoronaVac","Cardiovascular",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"20","WT","Spike","IgG4","CoronaVac","Chronic.pulmonary.disease",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"21","WT","Spike","IgG4","CoronaVac","Asthma",64,0.00595815545718932,0.0167447785893143,0.355821692440384,0.00915051452852908,0.0103042504535359,0.888033008299901,0.378011269037213,0.723201714286553
"22","WT","Spike","IgG4","CoronaVac","Rheumatologic.disease",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"23","WT","Spike","IgG4","CoronaVac","Immunocompromise",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"24","WT","Spike","IgG4","CoronaVac","Smoker",64,-0.0223845910012445,0.0165143135238335,-1.35546603066116,0.0129594643493055,0.0102757835869945,1.26116555877137,0.212051218825759,0.18026681809191
"25","WT","Spike","IgG4","CoronaVac","Allergic.disease",64,-0.00992594642814304,0.0110761600346314,-0.896154118133719,0.0137499107842927,0.0110143223389115,1.24836647786464,0.216667157908106,0.373693436044768
"26","WT","Spike","IgG4","CoronaVac","Neurological.disease",64,-7.85090824272541e-05,0.000115928561888209,-0.677219497495026,0.00979156715079236,0.0100738164038708,0.971981894272956,0.334836448665282,0.500785902098025
"27","WT","Spike","C1q","CoronaVac","Age",63,0.00123373939474586,0.00108851412300929,1.13341606568694,0.0273076251072423,0.0458202745145715,0.59597253391745,0.553435293936351,0.261548187666531
"28","WT","Spike","C1q","CoronaVac","Sex",63,0.0596762053345132,0.0279240321041722,2.1370912736344,0.0516003810044111,0.0252902829119407,2.04032438799047,0.0457263757267814,0.0366763367105421
"29","WT","Spike","C1q","CoronaVac","Immunosupressive.drugs",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"30","WT","Spike","C1q","CoronaVac","Obesity",63,-0.0455092965064771,0.0385925777722048,-1.17922406673891,0.0785761318954192,0.0248710914212101,3.15933589582681,0.00247705393170244,0.242963916459727
"31","WT","Spike","C1q","CoronaVac","Hypertension",63,0.0233039176454663,0.0464390076048749,0.501817735722242,0.0689482091288231,0.0248548519327564,2.77403419321745,0.00736868072633474,0.617632260346554
"32","WT","Spike","C1q","CoronaVac","Cardiovascular",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"33","WT","Spike","C1q","CoronaVac","Chronic.pulmonary.disease",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"34","WT","Spike","C1q","CoronaVac","Asthma",63,0.00499595945728524,0.0391336223894646,0.127664119808909,0.0709303979335682,0.024730420936617,2.86814357569407,0.00569045758017524,0.898841704639013
"35","WT","Spike","C1q","CoronaVac","Rheumatologic.disease",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"36","WT","Spike","C1q","CoronaVac","Immunocompromise",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"37","WT","Spike","C1q","CoronaVac","Smoker",63,-0.0307101870223679,0.0433278098720242,-0.708786968763836,0.0741204903611365,0.0245925561769268,3.0139400649485,0.00377455380959162,0.481201640877551
"38","WT","Spike","C1q","CoronaVac","Allergic.disease",63,-0.0641913107594575,0.026576533244442,-2.41533800398447,0.0925875034330487,0.0248866173646586,3.720373165882,0.000440334602658734,0.0187837096146985
"39","WT","Spike","C1q","CoronaVac","Neurological.disease",63,-0.000185744499602351,0.000273457597195371,-0.679244246667051,0.0714452366471703,0.0242018617772366,2.95205539576997,0.0044757247969983,0.499552433016956
"40","WT","Spike","R2b","CoronaVac","Age",63,1.30671355046469e-05,0.00077070402304287,0.0169548038078946,0.0363234920794007,0.0329004544987415,1.10404225816364,0.273982916733863,0.986528926682718
"41","WT","Spike","R2b","CoronaVac","Sex",63,0.0351872731278042,0.0185446714002985,1.89743308836617,0.0237843651691308,0.0167398700868991,1.42082137111356,0.160545032020163,0.062585834720921
"42","WT","Spike","R2b","CoronaVac","Immunosupressive.drugs",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"43","WT","Spike","R2b","CoronaVac","Obesity",63,-0.0223653736586703,0.0237124004254732,-0.943193150308149,0.0397719371169429,0.0159149303689005,2.49903305858388,0.0152082307527579,0.349364623542953
"44","WT","Spike","R2b","CoronaVac","Hypertension",63,-0.0218384803468327,0.0295685963039118,-0.738570073546018,0.0389438522364933,0.0159106949818905,2.4476524929187,0.0173223018564138,0.463047438211327
"45","WT","Spike","R2b","CoronaVac","Cardiovascular",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"46","WT","Spike","R2b","CoronaVac","Chronic.pulmonary.disease",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"47","WT","Spike","R2b","CoronaVac","Asthma",63,-0.0067138183103073,0.0262572453599447,-0.255693932027965,0.0373964332294968,0.0158740162238388,2.35582682430025,0.0217668773244247,0.799061737083341
"48","WT","Spike","R2b","CoronaVac","Rheumatologic.disease",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"49","WT","Spike","R2b","CoronaVac","Immunocompromise",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"50","WT","Spike","R2b","CoronaVac","Smoker",63,-0.0209157518145188,0.0247966937194403,-0.843489541435161,0.039291770804748,0.0158994801724869,2.47126134807477,0.0163200960264831,0.402305008767219
"51","WT","Spike","R2b","CoronaVac","Allergic.disease",63,-0.0194003780934882,0.0173865373513337,-1.11582759128286,0.044422986302367,0.0169864739447236,2.61519762411702,0.0112619861269101,0.268944973106457
"52","WT","Spike","R2b","CoronaVac","Neurological.disease",63,-0.000372736036459299,0.00018550273159909,-2.00932909853241,0.0368135371379366,0.0155886604309651,2.36155873052509,0.0214073215132331,0.0489324650326761
"53","WT","Spike","IgM","CoronaVac","Age",62,-0.00979155735778619,0.00600026997858907,-1.631852798745,1.09227269695579,0.256075471719378,4.26543272427419,7.31567821984651e-05,0.108037246168763
"54","WT","Spike","IgM","CoronaVac","Sex",62,-0.254183151374496,0.14683182287029,-1.73111759021776,0.818940789315928,0.134020565230399,6.11056062857265,8.46936468609028e-08,0.088657641603894
"55","WT","Spike","IgM","CoronaVac","Immunosupressive.drugs",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"56","WT","Spike","IgM","CoronaVac","Obesity",62,0.16647170886618,0.190023068383166,0.876060524033341,0.70435394623006,0.127405092484573,5.52845991077905,7.7183899821113e-07,0.38455002929286
"57","WT","Spike","IgM","CoronaVac","Hypertension",62,-0.336549362934452,0.233437622532841,-1.44171003492423,0.758094544399906,0.125682286860945,6.03183283288491,1.14502499043986e-07,0.154671334470749
"58","WT","Spike","IgM","CoronaVac","Cardiovascular",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"59","WT","Spike","IgM","CoronaVac","Chronic.pulmonary.disease",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"60","WT","Spike","IgM","CoronaVac","Asthma",62,-0.0247158734095298,0.221966092110748,-0.111349770473943,0.728267827659606,0.127704458832276,5.7027595928823,4.00366651282691e-07,0.911716934484812
"61","WT","Spike","IgM","CoronaVac","Rheumatologic.disease",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"62","WT","Spike","IgM","CoronaVac","Immunocompromise",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"63","WT","Spike","IgM","CoronaVac","Smoker",62,0.00443573672119502,0.209466800823954,0.0211763234257014,0.725257581559476,0.128748429572972,5.63313730478098,5.20702421079105e-07,0.983176456632116
"64","WT","Spike","IgM","CoronaVac","Allergic.disease",62,-0.0513154836010075,0.141325803929084,-0.36310059574653,0.746229295807815,0.137672755720734,5.42031204286724,1.15675446382035e-06,0.717827427789589
"65","WT","Spike","IgM","CoronaVac","Neurological.disease",62,-0.00460014149096652,0.00150345863071639,-3.05970606505787,0.725834454579817,0.124780930825277,5.81687001194242,2.47938817020467e-07,0.00331000550124477
"66","WT","Spike","IgG3","CoronaVac","Age",63,-0.00233828196684505,0.00639372721711153,-0.365715002758815,0.863659895251868,0.277291851687949,3.11462414057443,0.00282308346260673,0.715863982974191
"67","WT","Spike","IgG3","CoronaVac","Sex",63,0.417464799637895,0.148215520132677,2.81660651505453,0.633449144051477,0.135080020114373,4.68943625796866,1.62550348380146e-05,0.0065598621719969
"68","WT","Spike","IgG3","CoronaVac","Immunosupressive.drugs",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"69","WT","Spike","IgG3","CoronaVac","Obesity",63,0.260536796791889,0.195048393369422,1.33575464166183,0.738525894946832,0.134278800937645,5.49994407002323,8.25416231926824e-07,0.1866743445878
"70","WT","Spike","IgG3","CoronaVac","Hypertension",63,-0.315733131178126,0.242879189401698,-1.29995958878113,0.807085429305291,0.133945957796934,6.02545565823535,1.11404239849301e-07,0.198586770272556
"71","WT","Spike","IgG3","CoronaVac","Cardiovascular",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"72","WT","Spike","IgG3","CoronaVac","Chronic.pulmonary.disease",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"73","WT","Spike","IgG3","CoronaVac","Asthma",63,-0.0330021650898814,0.217575576231788,-0.151681386585062,0.777749863462284,0.134899075652223,5.76542025734383,3.01735450532885e-07,0.879947106477425
"74","WT","Spike","IgG3","CoronaVac","Rheumatologic.disease",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"75","WT","Spike","IgG3","CoronaVac","Immunocompromise",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"76","WT","Spike","IgG3","CoronaVac","Smoker",63,-0.0632691895290918,0.206524206433713,-0.306352415639951,0.782614680375915,0.135806914894485,5.76270126586679,3.04879585953268e-07,0.760396900157559
"77","WT","Spike","IgG3","CoronaVac","Allergic.disease",63,0.0860964987071539,0.144881287786115,0.594255476485386,0.739255885730795,0.145845869050263,5.06874751094954,4.1099744699738e-06,0.554575434663862
"78","WT","Spike","IgG3","CoronaVac","Neurological.disease",63,-0.00454250720927916,0.00155799757002532,-2.91560609379213,0.774737601258118,0.132356455612691,5.85341755845443,2.05805267052914e-07,0.00495979883683077
"79","WT","Spike","IgA1","CoronaVac","Age",63,-0.00329699952047129,0.0037766002590729,-0.873007280172315,0.443035222443442,0.163788732825641,2.70491879874953,0.00887908696131829,0.386139639199681
"80","WT","Spike","IgA1","CoronaVac","Sex",63,0.165453543728927,0.0911717718910393,1.81474529119235,0.261657193908659,0.0830917353991016,3.14901587566901,0.00255319774590158,0.0745625636127193
"81","WT","Spike","IgA1","CoronaVac","Immunosupressive.drugs",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"82","WT","Spike","IgA1","CoronaVac","Obesity",63,0.152552955782406,0.11585749370852,1.31672929302446,0.296450795419786,0.0797607458645171,3.71675054196888,0.000445487824649635,0.192936752270057
"83","WT","Spike","IgA1","CoronaVac","Hypertension",63,0.129560353402138,0.145266711050841,0.891879168082729,0.304380097549978,0.0801134456832113,3.79936345209235,0.000341173386322425,0.376020615769013
"84","WT","Spike","IgA1","CoronaVac","Cardiovascular",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"85","WT","Spike","IgA1","CoronaVac","Chronic.pulmonary.disease",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"86","WT","Spike","IgA1","CoronaVac","Asthma",63,-0.0910071462793087,0.128675201408932,-0.707262512767217,0.325960601841342,0.0797799368387584,4.08574655179453,0.000132316676208716,0.48214144048149
"87","WT","Spike","IgA1","CoronaVac","Rheumatologic.disease",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"88","WT","Spike","IgA1","CoronaVac","Immunocompromise",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"89","WT","Spike","IgA1","CoronaVac","Smoker",63,0.131229673202471,0.121544770955327,1.07968176805157,0.301315724105824,0.0799258384769435,3.76994135873527,0.000375308089196544,0.28460501234807
"90","WT","Spike","IgA1","CoronaVac","Allergic.disease",63,-0.0475447095944022,0.08605756654897,-0.552475645094466,0.33724787273433,0.0866305150477017,3.89294548864946,0.000251291128387318,0.582674888895725
"91","WT","Spike","IgA1","CoronaVac","Neurological.disease",63,-0.00171200954746502,0.000925062536190351,-1.85069601295878,0.317653953283601,0.0785867711643806,4.0420792020983,0.000150935542093983,0.0690569122178174
"92","WT","Spike","IgG1","CoronaVac","Age",50,-0.0119965625537233,0.0210701506147109,-0.569362923554399,3.11607497112827,0.92080770648486,3.38406699811813,0.00144912753486135,0.571821122237193
"93","WT","Spike","IgG1","CoronaVac","Sex",50,-0.0918570892589401,0.561860908446447,-0.163487240130171,2.69763185691102,0.511805232610161,5.27081726607861,3.34822521417678e-06,0.870835804472537
"94","WT","Spike","IgG1","CoronaVac","Immunosupressive.drugs",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"95","WT","Spike","IgG1","CoronaVac","Obesity",50,-0.881380239551387,0.765312589874771,-1.15166044726327,2.7358509583706,0.471779535884242,5.79900303060598,5.41576727072036e-07,0.255285466689646
"96","WT","Spike","IgG1","CoronaVac","Hypertension",50,0.144451733545403,0.939627278980114,0.153733013905464,2.66511201860966,0.474375203295709,5.61815204524577,1.01353458628522e-06,0.8784784501215
"97","WT","Spike","IgG1","CoronaVac","Cardiovascular",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"98","WT","Spike","IgG1","CoronaVac","Chronic.pulmonary.disease",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"99","WT","Spike","IgG1","CoronaVac","Asthma",50,-0.664211300295875,0.680015944667265,-0.976758420893905,2.75004091899949,0.477478700702795,5.75950490556278,6.21150915430392e-07,0.333689660040265
"100","WT","Spike","IgG1","CoronaVac","Rheumatologic.disease",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"101","WT","Spike","IgG1","CoronaVac","Immunocompromise",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"102","WT","Spike","IgG1","CoronaVac","Smoker",50,-0.538729956522888,0.723327145165859,-0.744794330094382,2.7141812416257,0.476047190952238,5.70149618191533,7.59530943116133e-07,0.460104209454771
"103","WT","Spike","IgG1","CoronaVac","Allergic.disease",50,-0.659567848405875,0.494186608588494,-1.33465342229678,2.9920539975361,0.525819906005261,5.69026384008018,7.89670311117494e-07,0.18841965982969
"104","WT","Spike","IgG1","CoronaVac","Neurological.disease",50,-0.00793315392816539,0.00540374115241274,-1.46808548085677,2.66619418436267,0.469474095578296,5.67910819675464,7.72157659829713e-07,0.14860391949061
"105","WT","Spike","IgG2","CoronaVac","Age",62,-0.00824993832681393,0.00483401412144609,-1.70664340640072,0.592998374107955,0.20928140151481,2.83349772036953,0.00629243594222462,0.0931470879215851
"106","WT","Spike","IgG2","CoronaVac","Sex",62,0.00821352797007946,0.121886829118099,0.0673865095146676,0.276853415122204,0.110746174340459,2.49989145693732,0.0152233482553745,0.946501853530178
"107","WT","Spike","IgG2","CoronaVac","Immunosupressive.drugs",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"108","WT","Spike","IgG2","CoronaVac","Obesity",62,0.0178181816957897,0.159359811576267,0.111811011318009,0.277063100556153,0.105357491995612,2.62974274831534,0.010880651182172,0.911352785907411
"109","WT","Spike","IgG2","CoronaVac","Hypertension",62,-0.148764158595364,0.188916707525315,-0.787458984142151,0.2947876603713,0.104116262394205,2.8313315671588,0.00632999520767942,0.434165347608739
"110","WT","Spike","IgG2","CoronaVac","Cardiovascular",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"111","WT","Spike","IgG2","CoronaVac","Chronic.pulmonary.disease",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"112","WT","Spike","IgG2","CoronaVac","Asthma",62,-0.120796760098238,0.167205429098173,-0.722445202585579,0.290549249605499,0.103514832285266,2.80683688695746,0.00676934902853868,0.472874771211246
"113","WT","Spike","IgG2","CoronaVac","Rheumatologic.disease",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"114","WT","Spike","IgG2","CoronaVac","Immunocompromise",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"115","WT","Spike","IgG2","CoronaVac","Smoker",62,-0.121725312652703,0.158712866231187,-0.766953023678584,0.294673578390097,0.104211505989823,2.82764916974595,0.0063943200130858,0.446167651174952
"116","WT","Spike","IgG2","CoronaVac","Allergic.disease",62,0.0941482513024351,0.112178695700315,0.839270333058176,0.24107156989932,0.11208992564185,2.15069791971844,0.0356076200292831,0.404705445382543
"117","WT","Spike","IgG2","CoronaVac","Neurological.disease",62,-0.00196600672796573,0.00120750980193691,-1.62814970513047,0.279620596464721,0.101994754244979,2.74151939023361,0.00804711968733927,0.108733437595231
"118","WT","Spike","R3b","CoronaVac","Age",64,-0.00048008909527868,0.00128950451445624,-0.372305090751175,0.0170966865212757,0.0551776395445816,0.309848095394914,0.757732533829349,0.710956075236441
"119","WT","Spike","R3b","CoronaVac","Sex",64,0.0659918147071178,0.0335840973678791,1.96497211118244,-0.020659550864691,0.0303241198685847,-0.681291030183994,0.498265718203341,0.0539761398235528
"120","WT","Spike","R3b","CoronaVac","Immunosupressive.drugs",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"121","WT","Spike","R3b","CoronaVac","Obesity",64,-0.0357159977086397,0.0439774579037389,-0.812143298205583,0.0049337657979364,0.029930730562807,0.164839471177736,0.869615375556751,0.419867519794365
"122","WT","Spike","R3b","CoronaVac","Hypertension",64,-0.0220531146947271,0.0550163666315922,-0.400846439794945,0.00203449506808355,0.0299195776880529,0.0679987895984219,0.946009000016172,0.689933794594578
"123","WT","Spike","R3b","CoronaVac","Cardiovascular",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"124","WT","Spike","R3b","CoronaVac","Chronic.pulmonary.disease",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"125","WT","Spike","R3b","CoronaVac","Asthma",64,-0.0322988484119069,0.0484252832043765,-0.666983159924768,0.00288340763201878,0.0296662577214401,0.0971948554850889,0.922890301251131,0.507298101570791
"126","WT","Spike","R3b","CoronaVac","Rheumatologic.disease",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"127","WT","Spike","R3b","CoronaVac","Immunocompromise",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"128","WT","Spike","R3b","CoronaVac","Smoker",64,-0.0141823356438688,0.0461448926079966,-0.307343561601683,0.00156378592737086,0.0299825230936723,0.0521565821023545,0.958574355053153,0.759628738408672
"129","WT","Spike","R3b","CoronaVac","Allergic.disease",64,-0.0461948369907838,0.031775697276714,-1.4537788608855,0.0178910828193685,0.0314834771473484,0.568268960116286,0.571938410916413,0.151133493955299
"130","WT","Spike","R3b","CoronaVac","Neurological.disease",64,0.000150763236396332,0.000333757241292663,0.451715252116826,-0.000298147007283003,0.0291488754949375,-0.010228422270862,0.991871883787444,0.653050408426546
"131","WT","Spike","R3av","CoronaVac","Age",61,-0.00350555355818471,0.00190453075182713,-1.84063898932669,0.312601480220468,0.0823680681850229,3.7951779992979,0.000354755002185456,0.0707917474101399
"132","WT","Spike","R3av","CoronaVac","Sex",61,0.0221709963166724,0.049708375239412,0.446021343684833,0.173583098429908,0.0440207985132485,3.94320649085151,0.000219126674580436,0.657242490407216
"133","WT","Spike","R3av","CoronaVac","Immunosupressive.drugs",61,-0.00139184928302228,0.000480875049943449,-2.89440943793187,0.180328849314554,0.0410594934400808,4.39189172116098,4.73441371905841e-05,0.00531689816894461
"134","WT","Spike","R3av","CoronaVac","Obesity",61,-0.0592619353433415,0.0597865919290667,-0.991224510901246,0.188998445548188,0.0419866656096117,4.50139211590364,3.30663833999103e-05,0.32569333322943
"135","WT","Spike","R3av","CoronaVac","Hypertension",61,-0.0756212517075967,0.0742705425771348,-1.01818633718825,0.188466861575676,0.0418176567536695,4.50687284287248,3.24409813972154e-05,0.312817914676825
"136","WT","Spike","R3av","CoronaVac","Cardiovascular",61,-0.00139184928302228,0.000480875049943449,-2.89440943793187,0.180328849314554,0.0410594934400808,4.39189172116098,4.73441371905841e-05,0.00531689816894461
"137","WT","Spike","R3av","CoronaVac","Chronic.pulmonary.disease",61,-0.00139184928302228,0.000480875049943449,-2.89440943793187,0.180328849314554,0.0410594934400808,4.39189172116098,4.73441371905841e-05,0.00531689816894461
